,Message Type,Time,Name,Speed,Heading,Latitude,Longitude,Altitude,DistanceDriven,LongitudinalAcceleration,Slope,Stopped,RouteId,Connection.Id,LaneIndex,BlinkerRight,BlinkerLeft,BrakeLight
69,VEHICLE_UPDATES,12000000000,veh_0,2.856219568173401,153.96762692293845,52.99163121099817,-1.1693240062107917,0.0,2.856219568173401,0.8562195681734011,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
71,VEHICLE_UPDATES,13000000000,veh_0,3.386496036895551,154.07424820484692,52.991603507817054,-1.169303118193861,0.0,6.242715605068952,0.5302764687221497,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
75,VEHICLE_UPDATES,14000000000,veh_0,4.132371940067969,154.07424820484692,52.99156970300425,-1.1692776296260352,0.0,10.375087545136921,0.7458759031724185,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
81,VEHICLE_UPDATES,15000000000,veh_0,4.914522002451122,154.07424820484832,52.99152949981655,-1.169247316789315,0.0,15.289609547588043,0.7821500623831525,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
82,VEHICLE_UPDATES,15000000000,veh_1,2.750979487434961,153.95781732628592,52.99163207191305,-1.1693246553354306,0.0,2.750979487434961,0.7509794874349609,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
89,VEHICLE_UPDATES,16000000000,veh_0,5.709790070774034,154.07424820484692,52.991482790938605,-1.1692120987984604,0.0,20.999399618362077,0.7952680683229119,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
90,VEHICLE_UPDATES,16000000000,veh_1,3.360144762089476,154.07424820484692,52.99160458429829,-1.169303929853098,0.0,6.111124249524437,0.6091652746545151,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
97,VEHICLE_UPDATES,17000000000,veh_0,6.237189626088366,154.07424820484692,52.99143176766256,-1.1691736278923983,0.0,27.236589244450442,0.5273995553143322,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
98,VEHICLE_UPDATES,17000000000,veh_1,4.2989430270390585,154.07424820484692,52.991569416853025,-1.1692774138703923,0.0,10.410067276563495,0.9387982649495825,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
108,VEHICLE_UPDATES,18000000000,veh_2,3.7522511094656723,154.05115229705333,52.991623881025646,-1.1693184794567364,0.0,3.7522511094656723,0.7522511094656723,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
109,VEHICLE_UPDATES,18000000000,veh_0,5.08077995012561,154.07424820484692,52.99139020437699,-1.169142289772662,0.0,32.31736919457605,-1.156409675962756,0.0,false,3,30806029_341336502_1110605740,0,true,false,true
110,VEHICLE_UPDATES,18000000000,veh_1,5.154014330008067,154.07424820484692,52.99152725450097,-1.169245623843663,0.0,15.564081606571563,0.8550713029690087,0.0,false,3,30806029_341336502_1110605740,0,true,false,false
